id,movement_number,lot_id,movement_type,origin_location_id,destination_location_id,customer_id,quantity_kg,movement_date,status,remito_number,notes,source_type,source_file,source_sheet,source_row
5da4245a-7d22-36f9-9ba0-126f0449a0b5,XLS-DE-CAMPO-A-FRIO-1001-R2,542b367d-ae28-3cf3-a2f8-e156378497d6,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,35160.000,2026-03-09 00:00:00-03:00,CONFIRMED,1001,b.roja sin tamañar/dtv 13354667-7 | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,2
96fd5400-c4bf-392e-ba34-ec106441171c,XLS-DE-CAMPO-A-FRIO-1002-R3,542b367d-ae28-3cf3-a2f8-e156378497d6,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,34500.000,2026-03-10 00:00:00-03:00,CONFIRMED,1002,b.roja y blancas s/tamañar dtv 13359963-0 | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,3
adf68784-b6d4-3d83-b505-186654abbd84,XLS-DE-CAMPO-A-FRIO-1005-R4,61cb476c-c53e-34cf-b2da-6c4a38ad8f73,INBOUND,,07f3d789-ec0b-31b2-be86-2d20b032ef0b,,3008.000,2026-03-13 00:00:00-03:00,CONFIRMED,1005,desc.bolsa blanca h.blanco. | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,4
a8ffd727-3934-3f19-b272-0a9b7c3a6bbc,XLS-DE-CAMPO-A-FRIO-1006-R5,8fafd75b-1f76-3b8c-97aa-80d3cdea22f7,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,35980.000,2026-03-27 00:00:00-03:00,CONFIRMED,1006,b.blanca-dtv 13451462-0 | Transporte: Camillo Gastón,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,5
71e76fad-6ee3-3767-aca4-e01403ab21d8,XLS-DE-CAMPO-A-FRIO-1007-R6,8fafd75b-1f76-3b8c-97aa-80d3cdea22f7,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,35920.000,2026-03-28 00:00:00-03:00,CONFIRMED,1007,b.blanca-hilo blanco | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,6
da211e66-257d-3507-a74b-115d7e45f9d7,XLS-DE-CAMPO-A-FRIO-1008-R7,7dca38ba-075e-3c45-8cd6-cb00a501b2d4,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,27132.000,2026-03-30 00:00:00-03:00,CONFIRMED,1008,b.varias-hilo amarillo dtv 13462918-5 | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,7
9bee4d65-79dd-3b0f-bfde-7e1bbf8d1b8b,XLS-DE-CAMPO-A-FRIO-1008-R8,0403eb7c-8111-3c85-a97e-8a86937c913d,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,10200.000,2026-03-30 00:00:00-03:00,CONFIRMED,1008,b.varias-hilo verde dtv 13462918-5 | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,8
b7c37bc6-748d-38e5-bf71-04a6c79fe382,XLS-DE-CAMPO-A-FRIO-1009-R9,8fafd75b-1f76-3b8c-97aa-80d3cdea22f7,INBOUND,,07f3d789-ec0b-31b2-be86-2d20b032ef0b,,10200.000,2026-03-29 00:00:00-03:00,CONFIRMED,1009,b.blanca-hilo blanco | Transporte: Camillo Gastón,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,9
a5d0b795-e515-3ca2-959f-ae2a9d4a2361,XLS-DE-CAMPO-A-FRIO-1009-R10,337417f6-c5c0-3bbe-8162-ebd226ac01f1,INBOUND,,07f3d789-ec0b-31b2-be86-2d20b032ef0b,,25000.000,2026-03-29 00:00:00-03:00,CONFIRMED,1009,b.blanca-hilo blanco | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,10
fd78935e-1fbf-3c41-aa49-2020ed445746,XLS-DE-CAMPO-A-FRIO-1010-R11,4147a592-30d5-3625-ae7e-4f5ad7817c6c,INBOUND,,d93ec8c6-a4ce-3498-9217-8c4eae9dd89f,,10703.000,2026-03-30 00:00:00-03:00,CONFIRMED,1010,hilo amarillo | Transporte: serantes-vera,excel_import,Planilla de movimientos 2026.xls,De campo a Frío,11
